title,lead,byline,link
Nestle to sell North American bottled waters for $4.3B,Global food giant Nestle is selling its bottled-water brands in North America for $4.3 billion to a pair of private-equity firms that hope to reinvigorate sales...,"by
The Associated Press -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/nestle-to-sell-north-american-bottled-waters-for/?business
News in brief,LR's January barges fall by half since '20,"
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/news-in-brief/?business
NASA rover lands on Mars to look for signs of ancient life,"A NASA rover streaked through the Martian sky and landed on the planet Thursday, accomplishing the riskiest step yet in an epic quest to bring back rocks that c...","by
The Associated Press -
February 18, 2021",https://arkansasonline.com/news/2021/feb/18/nasa-rover-lands-mars-look-signs-ancient-life/?business
"Walmart sales still surging, but a chill may be on the way","NEW YORK — Walmart is raising wages for 425,000 of its 1.5 million U.S. workers and is investing $14 billion this year to speed up its distribution network as t...","by
The Associated Press -
February 18, 2021",https://arkansasonline.com/news/2021/feb/18/walmart-sales-still-surging-chill-may-be-wa/?business
Lights come back on in Texas as water woes rise in the South,"AUSTIN, Texas — Many of the millions of Texans who lost power for days after a deadly winter blast overwhelmed the electric grid now have it back, but the crisi...","by
The Associated Press -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/lights-come-back-texas-water-woes-rise-south/
"Biden to lay out his foreign policy at G-7, Munich summit","WASHINGTON — Joe Biden is making his first big appearance on the global stage as president on Friday, offering Group of Seven allies and other foreign leaders a...","by
The Associated Press -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/biden-lay-out-his-foreign-policy-g-7-munich-summit/
Frozen Texans face water woes,Power was restored to more homes and businesses in Texas on Thursday after a deadly blast of winter this week overwhelmed the electrical grid and left millions...,"by
Compiled by Democrat-Gazette Staff From Wire Reports -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/frozen-texans-face-water-woes/
Democrats file Biden's citizenship legislation,"Democrats filed President Joe Biden's immigration bill Thursday, facing steep odds as they attempt to create the first major path to U.S. citizenship for unauth...","by
Compiled by Democrat-Gazette Staff From Wire Reports -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/democrats-file-bidens-citizenship-legislation/
Unvaccinated Vatican employees risk firing,The Vatican is taking Pope Francis' pro-vaccine stance seriously: Any Vatican employee who refuses to get a coronavirus shot without a valid medical reason risk...,"by
NICOLE WINFIELD THE ASSOCIATED PRESS -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/unvaccinated-vatican-employees-risk-firing/
Lebanese court sacks blast investigator,"Lebanon's highest court Thursday asked the chief prosecutor investigating last year's massive Beirut port explosion to step down, following legal challenges by ...","by
SARAH EL DEEB THE ASSOCIATED PRESS -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/lebanese-court-sacks-blast-investigator/
CDC reports life expectancy drop,Life expectancy in the United States dropped by one year for white people during the first half of 2020 as the coronavirus pandemic caused its first wave of dea...,"by
MARILYNN MARCHIONE THE ASSOCIATED PRESS -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/cdc-reports-life-expectancy-drop/
S.C. abortion ban now law; challenge filed,"South Carolina's governor signed a bill Thursday banning most abortions, one of his top priorities since he took office more than four years ago. Planned Parent...","by
JEFFREY COLLINS THE ASSOCIATED PRESS -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/sc-abortion-ban-now-law-challenge-filed/
Plummet from orbit lands NASA rover on Mars,"A NASA rover streaked through the orange Martian sky and landed on the planet Thursday, accomplishing the riskiest step yet in an epic quest to bring back rocks...","by
MARCIA DUNN THE ASSOCIATED PRESS -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/plummet-from-orbit-lands-nasa-rover-on-mars/
Cruz's trip to Cancun angers shivering Texans,"U.S. Sen. Ted Cruz of Texas took his family on vacation to Cancun, Mexico, this week as his home state was paralyzed by a deadly winter storm, drawing criticism...","by
Compiled by Democrat-Gazette Staff From Wire Reports -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/cruzs-trip-to-cancun-angers-shivering-texans/
Cold forces Texans to choose -- freeze or risk covid,"Ashley Archer, a pregnant, 33-year-old Texas financial adviser, and her husband have been cautious about the coronavirus. They work from home, go out mostly jus...","by
Compiled by Democrat-Gazette Staff From Wire Reports -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/cold-forces-texans-to-choose-freeze-or-risk-covid/
New immigration rules focus on threats,"Immigration enforcement in the U.S. will be more targeted under President Joe Biden than under his predecessor, with authorities directed to focus on people in ...","by
BEN FOX THE ASSOCIATED PRESS -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/new-immigration-rules-focus-on-threats/
"Alabama has no standing in census foreigners-count decision, U.S. says","In a reversal of policy under then-President Donald Trump, Biden administration attorneys are arguing that the state of Alabama has no standing in trying to sto...","by
MIKE SCHNEIDER THE ASSOCIATED PRESS -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/alabama-has-no-standing-in-census-foreigners/
